epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.1134,2.25832,2.54817,1.06714,0.66584,0.50821,0.56786,0.23246,1.85512,1.6175,0.95454,0.000410714,0.000410714,0.000410714
2,188.555,2.06782,1.54619,0.98485,0.71715,0.58501,0.66062,0.37478,1.53698,1.11224,0.92051,0.00081919,0.00081919,0.00081919
3,291.674,2.00704,1.4117,0.97252,0.69982,0.63799,0.68429,0.35291,1.59431,1.06259,0.91631,0.00121942,0.00121942,0.00121942
4,403.445,1.97449,1.38425,0.95574,0.72766,0.60813,0.679,0.32722,1.69023,1.17875,0.92397,0.00121287,0.00121287,0.00121287
